Timestamp,Human readable date,38001c001851373237343331_pedestrians,context_38001c001851373237343331_pedestrians
1.58573E+12,4/1/20 2:08,18,{}
1.58575E+12,4/1/20 7:16,19,{}
1.58575E+12,4/1/20 7:51,20,{}
1.58576E+12,4/1/20 10:56,21,{}
1.58577E+12,4/1/20 11:17,22,{}
1.58577E+12,4/1/20 11:53,23,{}
1.58577E+12,4/1/20 12:27,24,{}
1.58577E+12,4/1/20 12:27,25,{}
1.58577E+12,4/1/20 12:27,26,{}
1.58577E+12,4/1/20 12:27,27,{}
1.58577E+12,4/1/20 12:28,28,{}
1.58577E+12,4/1/20 12:30,29,{}
1.58577E+12,4/1/20 12:30,30,{}
1.58577E+12,4/1/20 12:34,31,{}
1.58577E+12,4/1/20 12:41,32,{}
1.58577E+12,4/1/20 12:42,33,{}
1.58577E+12,4/1/20 12:44,34,{}
1.58577E+12,4/1/20 12:44,35,{}
1.58577E+12,4/1/20 12:45,36,{}
1.58577E+12,4/1/20 12:46,37,{}
1.58577E+12,4/1/20 12:49,38,{}
1.58577E+12,4/1/20 12:53,39,{}
1.58577E+12,4/1/20 12:55,40,{}
1.58577E+12,4/1/20 13:02,41,{}
1.58577E+12,4/1/20 13:02,42,{}
1.58577E+12,4/1/20 13:04,43,{}
1.58577E+12,4/1/20 13:58,44,{}
1.58577E+12,4/1/20 14:00,45,{}
1.58577E+12,4/1/20 14:00,46,{}
1.58578E+12,4/1/20 14:15,47,{}
1.58578E+12,4/1/20 14:21,48,{}
1.58578E+12,4/1/20 14:22,49,{}
1.58578E+12,4/1/20 14:23,50,{}
1.58578E+12,4/1/20 14:38,51,{}
1.58578E+12,4/1/20 14:57,52,{}
1.58578E+12,4/1/20 15:04,53,{}
1.58578E+12,4/1/20 15:24,54,{}
1.58578E+12,4/1/20 15:33,55,{}
1.58578E+12,4/1/20 15:35,56,{}
1.58578E+12,4/1/20 15:38,57,{}
1.58578E+12,4/1/20 15:57,58,{}
1.58578E+12,4/1/20 15:58,59,{}
1.58578E+12,4/1/20 15:58,60,{}
1.58578E+12,4/1/20 16:00,61,{}
1.58578E+12,4/1/20 16:00,62,{}
1.58578E+12,4/1/20 16:15,63,{}
1.58578E+12,4/1/20 16:16,64,{}
1.58578E+12,4/1/20 16:24,65,{}
1.58579E+12,4/1/20 17:00,66,{}
1.58579E+12,4/1/20 17:03,67,{}
1.58579E+12,4/1/20 17:05,68,{}
1.58579E+12,4/1/20 17:07,70,{}
1.58579E+12,4/1/20 17:09,71,{}
1.58579E+12,4/1/20 17:11,72,{}
1.58579E+12,4/1/20 17:11,73,{}
1.58579E+12,4/1/20 17:13,76,{}
1.58579E+12,4/1/20 17:13,77,{}
1.58579E+12,4/1/20 17:13,74,{}
1.58579E+12,4/1/20 17:13,74,{}
1.58579E+12,4/1/20 17:14,78,{}
1.58579E+12,4/1/20 17:14,79,{}
1.58579E+12,4/1/20 17:14,80,{}
1.58579E+12,4/1/20 17:16,81,{}
1.58579E+12,4/1/20 17:17,83,{}
1.58579E+12,4/1/20 17:17,82,{}
1.58579E+12,4/1/20 18:02,84,{}
1.58579E+12,4/1/20 18:16,85,{}
1.58579E+12,4/1/20 18:37,86,{}
1.5858E+12,4/1/20 19:40,87,{}
1.5858E+12,4/1/20 20:33,89,{}
1.5858E+12,4/1/20 20:33,92,{}
1.5858E+12,4/1/20 20:33,90,{}
1.5858E+12,4/1/20 20:33,93,{}
1.5858E+12,4/1/20 20:33,94,{}
1.5858E+12,4/1/20 20:34,91,{}
1.5858E+12,4/1/20 20:53,99,{}
1.58581E+12,4/1/20 22:31,101,{}
1.58581E+12,4/1/20 23:25,102,{}
1.58581E+12,4/1/20 23:25,103,{}
1.58581E+12,4/1/20 23:26,104,{}
1.58581E+12,4/1/20 23:32,105,{}
1.58581E+12,4/1/20 23:33,107,{}
1.58581E+12,4/1/20 23:33,106,{}
1.58581E+12,4/1/20 23:33,108,{}
1.58581E+12,4/1/20 23:33,109,{}
1.58584E+12,4/2/20 7:19,110,{}
1.58584E+12,4/2/20 7:19,111,{}
1.58584E+12,4/2/20 7:28,112,{}
1.58584E+12,4/2/20 8:06,113,{}
1.58584E+12,4/2/20 8:07,114,{}
1.58584E+12,4/2/20 8:23,115,{}
1.58584E+12,4/2/20 8:23,116,{}
1.58584E+12,4/2/20 8:24,117,{}
1.58584E+12,4/2/20 8:24,118,{}
1.58584E+12,4/2/20 8:24,119,{}
1.58584E+12,4/2/20 8:25,120,{}
1.58584E+12,4/2/20 8:25,121,{}
1.58584E+12,4/2/20 8:26,122,{}
1.58584E+12,4/2/20 8:27,123,{}
1.58584E+12,4/2/20 8:27,124,{}
1.58584E+12,4/2/20 8:27,125,{}
1.58584E+12,4/2/20 8:27,126,{}
1.58584E+12,4/2/20 8:27,127,{}
1.58584E+12,4/2/20 8:28,128,{}
1.58584E+12,4/2/20 8:28,129,{}
1.58584E+12,4/2/20 8:28,130,{}
1.58584E+12,4/2/20 8:29,131,{}
1.58584E+12,4/2/20 8:29,132,{}
1.58584E+12,4/2/20 8:29,133,{}
1.58584E+12,4/2/20 8:30,134,{}
1.58584E+12,4/2/20 8:30,135,{}
1.58584E+12,4/2/20 8:31,136,{}
1.58584E+12,4/2/20 8:31,137,{}
1.58584E+12,4/2/20 8:31,138,{}
1.58584E+12,4/2/20 8:31,139,{}
1.58584E+12,4/2/20 8:31,140,{}
1.58584E+12,4/2/20 8:31,141,{}
1.58584E+12,4/2/20 8:32,142,{}
1.58584E+12,4/2/20 8:32,143,{}
1.58584E+12,4/2/20 8:33,145,{}
1.58584E+12,4/2/20 8:33,144,{}
1.58584E+12,4/2/20 8:33,146,{}
1.58584E+12,4/2/20 8:34,147,{}
1.58584E+12,4/2/20 8:35,148,{}
1.58584E+12,4/2/20 8:35,149,{}
1.58584E+12,4/2/20 8:35,150,{}
1.58584E+12,4/2/20 8:36,151,{}
1.58584E+12,4/2/20 8:36,152,{}
1.58584E+12,4/2/20 8:36,153,{}
1.58584E+12,4/2/20 8:37,154,{}
1.58584E+12,4/2/20 8:37,155,{}
1.58584E+12,4/2/20 8:37,156,{}
1.58584E+12,4/2/20 8:37,157,{}
1.58584E+12,4/2/20 8:37,158,{}
1.58584E+12,4/2/20 8:39,159,{}
